ID	SentenceA	SentenceB	GoldLabel	GKR4NLILabel	Justification
46	In this paper, we use the language of operads to study open dynamical systems.	We study dynamical systems in this paper.	E	ENTAILMENT	[SUBCLASS(lemma)]
47	In this paper, we use the language of operads to study open dynamical systems.	We will not be concerned with the language of operads.	C	NEUTRAL	
48	In this paper, we use the language of operads to study open dynamical systems.	The study of open dynamical systems requires the language of operads.	N	NEUTRAL	
49	The syntactic architecture of such interconnections is encoded using the visual language of wiring diagrams.	Wiring diagrams are related to the syntactic architecture of such interconnections.	E	NEUTRAL	
50	The syntactic architecture of such interconnections is encoded using the visual language of wiring diagrams.	Such interconnections lack any syntactic structure.	C	NEUTRAL	
51	The syntactic architecture of such interconnections is encoded using the visual language of wiring diagrams.	The only way to encode the syntactic structure of such interconnections is by means of the visual language of wiring diagrams.	N	NEUTRAL	
52	Moreover it enables us to characterise operads as categorical polynomial monads in a canonical way.	Operads can be characterised as categorical polynomial monads.	E	NEUTRAL	
53	Moreover it enables us to characterise operads as categorical polynomial monads in a canonical way.	Operads can be characterised as categorical polynomial monads; however, no canonical way of doing so exists.	C	NEUTRAL	
54	Moreover it enables us to characterise operads as categorical polynomial monads in a canonical way.	There is exactly one way to characterise operads as categorical polynomial monads.	N	NEUTRAL	
55	We have two useful gradings related by isomorphisms which change the degree.	There exist some gradings related by isomorphisms which change the degree.	E	NEUTRAL	
56	We have two useful gradings related by isomorphisms which change the degree.	No two gradings which change the degree are isomorphic.	C	Exception found:null
57	We have two useful gradings related by isomorphisms which change the degree.	There exist many pairs of gradings related by isomorphisms which change the degree.	N	NEUTRAL	
58	The result is a double category C//G which describes the local symmetries of C.	The result is a category.	E	ENTAILMENT	[SUBCLASS(lemma)]
59	The result is a double category C//G which describes the local symmetries of C.	The result is a double category C//G which does not describe the local symmetries of C.	C	Exception found:null
60	The result is a double category C//G which describes the local symmetries of C.	The result describes both local and non-local symmetries of C.	N	NEUTRAL	
61	There are few known computable examples of non-abelian surface holonomy.	There are some known examples of non-abelian surface holonomy.	E	ENTAILMENT	[SUBCLASS(lemma)]
62	There are few known computable examples of non-abelian surface holonomy.	There are no known computable examples of non-abelian surface holonomy.	C	CONTRADICTION	[SUBCLASS(lemma)]
63	There are few known computable examples of non-abelian surface holonomy.	There are few known examples of non-abelian surface holonomy.	N	ENTAILMENT	[SUBCLASS(lemma)]
64	Using these ideas, we also prove that magnetic monopoles form an abelian group.	Using these ideas, we also prove that magnetic monopoles form a group.	E	ENTAILMENT	[SUBCLASS(lemma)]
65	Using these ideas, we also prove that magnetic monopoles form an abelian group.	Using these ideas, we disprove the conjecture that magnetic monopoles form a group.	C	NEUTRAL	
66	Using these ideas, we also prove that magnetic monopoles form an abelian group.	Using these ideas, we also prove that monopoles form an abelian group.	N	ENTAILMENT	[SUBCLASS(lemma)]
67	We introduce a 3-dimensional categorical structure which we call intercategory.	We introduce a 3-dimensional categorical structure.	E	ENTAILMENT	[SUBCLASS(lemma)]
68	We introduce a 3-dimensional categorical structure which we call intercategory.	We introduce a 2-dimensional categorical structure which we call intercategory.	C	ENTAILMENT	[EQUALS(lemma)]
69	We introduce a 3-dimensional categorical structure which we call intercategory.	An intercategory is a category with a 3-dimensional intercategorical structure.	N	NEUTRAL	
70	We show that these fit together to produce a strict triple category of intercategories.	We show that these fit together to produce a category of intercategories.	E	ENTAILMENT	[SUBCLASS(lemma)]
71	We show that these fit together to produce a strict triple category of intercategories.	We doubt that these fit together to produce a strict triple category of intercategories.	C	NEUTRAL	
72	We show that these fit together to produce a strict triple category of intercategories.	Three intercategories fit together to produce a strict triple.	N	NEUTRAL	
73	This is the third paper in a series.	This paper is part of a series.	E	NEUTRAL	
74	This is the third paper in a series.	This is the fourth paper in a series.	C	ENTAILMENT	[EQUALS(lemma)]
75	This is the third paper in a series.	This is the third paper on this topic.	N	NEUTRAL	
76	The effect of any bundle of Lie groups is trivial.	Lie groups sometimes appear in bundles.	E	NEUTRAL	
77	The effect of any bundle of Lie groups is trivial.	The effect of a bundle of Lie groups is non-trivial.	C	NEUTRAL	
78	The effect of any bundle of Lie groups is trivial.	Groups always have effects.	N	NEUTRAL	
79	All quotients of a given Lie groupoid determine the same effect.	All quotients of a given Lie groupoid determine some effect.	E	ENTAILMENT	[SUBCLASS(lemma)]
80	All quotients of a given Lie groupoid determine the same effect.	Quotients of a Lie groupoid determine different effects.	C	NEUTRAL	
81	All quotients of a given Lie groupoid determine the same effect.	A Lie groupoid has either zero or one quotient.	N	Exception found:Index 1 out of bounds for length 1
82	Our analysis is relevant to the presentation theory of proper smooth stacks.	Proper smooth stacks may sometimes be presented.	E	NEUTRAL	
83	Our analysis is relevant to the presentation theory of proper smooth stacks.	Our analysis does not have anything to say about the presentation theory of proper smooth stacks.	C	NEUTRAL	
84	Our analysis is relevant to the presentation theory of proper smooth stacks.	Proper smooth stacks may always be presented.	N	NEUTRAL	
85	This paper extends the Day Reflection Theorem to  monoidal categories.	This paper extends the Day Reflection Theorem to a family of categories.	E	ENTAILMENT	[SUBCLASS(lemma)]
86	This paper extends the Day Reflection Theorem to skew monoidal categories.	The Day Reflection Theorem is beyond the scope of this paper, and we will not address it.	C	NEUTRAL	
87	This paper extends the Day Reflection Theorem to skew monoidal categories.	This paper extends the Day Reflection Theorem to monoidal categories.	N	ENTAILMENT	[SUBCLASS(lemma)]
88	We also give a presentation for FinRelk.	We also exhibit a presentation for FinRelk.	E	ENTAILMENT	[EQUALS(embed)]
89	We also give a presentation for FinRelk.	There is no presentation for FinRelk.	C	CONTRADICTION	[EQUALS(lemma)]
90	We also give a presentation for FinRelk.	This is the first time that anyone gives a presentation for FinRelk.	N	NEUTRAL	
91	These modules and their modulations then give rise to a bicategory.	We can define a bicategory from these modules and their modulations.	E	NEUTRAL	
92	These modules and their modulations then give rise to a bicategory.	It would be a mistake to think that these modules and their modulations give rise to a bicategory.	C	NEUTRAL	
93	These modules and their modulations then give rise to a bicategory.	Every module and its modulations give rise to a bicategory.	N	NEUTRAL	
94	We give an explicit construction of the category Opetope of opetopes.	We give a construction of the category Opetope of opetopes.	E	ENTAILMENT	[SUBCLASS(lemma)]
95	We give an explicit construction of the category Opetope of opetopes.	It is an open question to give an explicit construction of the category Opetope of opetopes.	C	NEUTRAL	
96	We give an explicit construction of the category Opetope of opetopes.	The category of opetopes was previously constructed by someone named Opetope.	N	NEUTRAL	
97	This result encompasses many known and new examples of quasitopoi.	This result encompasses new examples of quasitopoi.	E	ENTAILMENT	[SUBCLASS(lemma)]
98	This result encompasses many known and new examples of quasitopoi.	This result is far from the topic of quasitopoi.	C	NEUTRAL	
99	This result encompasses many known and new examples of quasitopoi.	This result also implies new properties of quasitopoi.	N	NEUTRAL	
100	We take some first steps in providing a synthetic theory of distributions.	We take some steps in providing a synthetic theory of distributions.	E	ENTAILMENT	[SUBCLASS(lemma)]
101	We take some first steps in providing a synthetic theory of distributions.	First steps in providing a synthetic theory of distributions date back to the previous century, and we will not reiterate them.	C	NEUTRAL	
102	We take some first steps in providing a synthetic theory of distributions.	We do not think it will be easy to take the next steps.	N	NEUTRAL	
103	We introduce various notions of partial topos, i.e. `topos without terminal object'.	A partial topos is a topos without a terminal object.	E	NEUTRAL	
104	We introduce various notions of partial topos, i.e. `topos without terminal object'.	There is only one notion of partial topos.	C	NEUTRAL	
105	We introduce various notions of partial topos, i.e. `topos without terminal object'.	We also introduce various notions of topos with a terminal object.	N	NEUTRAL	
106	Examples for the weaker notions are local homeomorphisms and discrete fibrations.	Local homeomorphisms are examples of the weaker notions, as are discrete fibrations.	E	NEUTRAL	
107	Examples for the weaker notions are local homeomorphisms and discrete fibrations.	Discrete fibrations are not examples of the weaker notions.	C	CONTRADICTION	[EQUALS(lemma)]
108	Examples for the weaker notions are local homeomorphisms and discrete fibrations.	Local homeomorphisms and discrete fibrations are also examples of the stronger notions.	N	NEUTRAL	
109	In such a framework, the globular nerve always satisfies the Kan condition.	Sometimes the globular nerve satisfies the Kan condition.	E	NEUTRAL	
110	In such a framework, the globular nerve always satisfies the Kan condition.	In no framework does the globular nerve satisfy the Kan condition.	C	CONTRADICTION	[SUBCLASS(lemma), EQUALS(lemma), EQUALS(lemma)]
111	In such a framework, the globular nerve always satisfies the Kan condition.	The globular nerve only satisfies the Kan condition under very special assumptions.	N	NEUTRAL	
112	We give a categorical discussion of such results.	We discuss a certain result mentioning categorical ideas.	E	NEUTRAL	
113	We give a categorical discussion of such results.	We discuss such results, but our discussion will not be categorical.	C	CONTRADICTION	[EQUALS(lemma)]
114	We give a categorical discussion of such results.	We also give a categorical discussion of other results.	N	NEUTRAL	
115	Another is to make clear which parts of the proofs of such results are formal.	Parts of the proofs of such results are formal.	E	NEUTRAL	
116	Another is to make clear which parts of the proofs of such results are formal.	The proofs of such results are completely informal.	C	NEUTRAL	
117	Another is to make clear which parts of the proofs of such results are formal.	Parts of the proofs of such results are informal.	N	NEUTRAL	
118	In this case we recover the notion of a linear bicategory.	We recover the notion of a linear bicategory.	E	ENTAILMENT	[SUBCLASS(lemma)]
119	In this case we recover the notion of a linear bicategory.	In this case the notion of a linear bicategory cannot be recovered.	C	ENTAILMENT	[SUBCLASS(lemma)]
120	In this case we recover the notion of a linear bicategory.	The notion of a linear bicategory has been recovered several times.	N	NEUTRAL	
121	The poly notions of functors, modules and their transformations are introduced as well.	There exists a poly notion of transformation of functors.	E	NEUTRAL	
122	The poly notions of functors, modules and their transformations are introduced as well.	Nobody has ever studied poly notions of functors and their transformations.	C	NEUTRAL	
123	The poly notions of functors, modules and their transformations are introduced as well.	The poly notions of rings are introduced as well.	N	ENTAILMENT	[SUBCLASS(lemma)]
124	In many applications of quasigroups isotopies and homotopies are more important than isomorphisms and homomorphisms.	Isotopies and homotopies are more important than isomorphisms and homomorphisms in some applications of quasigroups.	E	ENTAILMENT	[SUBCLASS(lemma)]
125	In many applications of quasigroups isotopies and homotopies are more important than isomorphisms and homomorphisms.	Isomorphisms and homomorphisms are always more important than isotopies and homotopies.	C	NEUTRAL	
126	In many applications of quasigroups isotopies and homotopies are more important than isomorphisms and homomorphisms.	In all applications of quasigroups, isotopies are more important than isomorphisms.	N	NEUTRAL	
127	Those classes are natural examples of reflective subcategories defined by proper classes of morphisms.	Those classes are examples of certain reflective subcategories.	E	NEUTRAL	
128	Those classes are natural examples of reflective subcategories defined by proper classes of morphisms.	It is an open question whether any examples of reflective subcategories defined by proper classes of morphisms exist.	C	NEUTRAL	
129	Those classes are natural examples of reflective subcategories defined by proper classes of morphisms.	Those classes are natural examples of several important phenomena that were observed by Grothendieck in the 1970s.	N	NEUTRAL	
130	The paper develops the previously proposed approach to constructing factorization systems in general categories.	The paper focuses on constructing factorization systems.	E	ENTAILMENT	[SUBCLASS(embed)]
131	The paper develops the previously proposed approach to constructing factorization systems in general categories.	The paper relies on no previous results.	C	NEUTRAL	
132	The paper develops the previously proposed approach to constructing factorization systems in general categories.	The paper introduces the important notion of skew factorization system, which is helpful in constructing factorization systems in general categories.	N	NEUTRAL	
133	The problem of relating a factorization system to a pointed endofunctor is considered.	There is a problem of relating a pointed endofunctor to a factorization system.	E	ENTAILMENT	[EQUALS(lemma)]
134	The problem of relating a factorization system to a pointed endofunctor is considered.	The problem of relating a factorization system to a pointed endofunctor is not discussed.	C	CONTRADICTION	[SUBCLASS(sense)]
135	The problem of relating a factorization system to a pointed endofunctor is considered.	A pointed endofunctor cannot be related to a factorization system.	N	NEUTRAL	
136	Some relevant examples in concrete categories are given.	Relevant examples in some categories are given.	E	ENTAILMENT	[SUBCLASS(lemma)]
137	Some relevant examples in concrete categories are given.	No relevant examples in any categories exist.	C	NEUTRAL	
138	Some relevant examples in concrete categories are given.	Some relevant examples in the category of topological spaces are given.	N	NEUTRAL	
139	We characterize semi-abelian monadic categories and their localizations.	We discuss some monadic categories.	E	NEUTRAL	
140	We characterize semi-abelian monadic categories and their localizations.	Semi-abelian monadic categories lack localizations.	C	ENTAILMENT	[EQUALS(sense)]
141	We characterize semi-abelian monadic categories and their localizations.	We characterize abelian monadic categories and their localizations.	N	ENTAILMENT	[EQUALS(lemma)]
142	However, we also present a non-varietor satisfying Birkhoff's Variety Theorem.	There exists a non-varietor satisfying Birkhoff's Variety Theorem.	E	Exception found:null
143	However, we also present a non-varietor satisfying Birkhoff's Variety Theorem.	No non-varietors satisfy Birkhoff's Variety Theorem.	C	Exception found:null
144	However, we also present a non-varietor satisfying Birkhoff's Variety Theorem.	We present three non-varietors satisfying Birkhoff's Variety Theorem.	N	Exception found:null
145	It turns out that many categorical properties are well behaved under enlargements.	Some categorical properties are well behaved under enlargements.	E	Exception found:null
146	It turns out that many categorical properties are well behaved under enlargements.	No categorical properties are well behaved under enlargements.	C	Exception found:null
147	It turns out that many categorical properties are well behaved under enlargements.	All categorical properties are well behaved under enlargements.	N	Exception found:null
148	We describe a completion of gms's by Cauchy filters of formal balls.	There exists a completion of gms's by Cauchy filters of formal balls.	E	NEUTRAL	
149	We describe a completion of gms's by Cauchy filters of formal balls.	No completion of gms's by Cauchy filters of formal balls exists.	C	CONTRADICTION	[EQUALS(lemma), EQUALS(sense), EQUALS(sense), EQUALS(sense), EQUALS(sense), EQUALS(sense)]
150	We describe a completion of gms's by Cauchy filters of formal balls.	It is easy to describe a completion of gms's by Cauchy filters of formal balls.	N	NEUTRAL	
151	This paper proposes a recursive definition of V-n-categories and their morphisms.	This paper is about a definition of V-n-categories.	E	NEUTRAL	
152	This paper proposes a recursive definition of V-n-categories and their morphisms.	This paper only discusses the definition of V-n-categories, not their morphisms, which will be introduced in a companion paper.	C	CONTRADICTION	[EQUALS(lemma)]
153	This paper proposes a recursive definition of V-n-categories and their morphisms.	This paper proposes a definition of V-categories.	N	ENTAILMENT	[SUBCLASS(lemma)]
154	Our result relies heavily on some unpublished work of A. Kock from 1989.	A. Kock did some unpublished work on the topic of this work.	E	ENTAILMENT	[EQUALS(sense)]
155	Our result relies heavily on some unpublished work of A. Kock from 1989.	Our result relies only on the published  work of A. Kock.	C	NEUTRAL	
156	Our result relies heavily on some unpublished work of A. Kock from 1989.	Our work relies on published and unpublished work of A. Kock.	N	NEUTRAL	
157	The required simplicial approximation results for simplicial sets and their proofs are given in full.	Simplicial approximation results for simplicial sets are proved.	E	ENTAILMENT	[SUBCLASS(lemma)]
158	The required simplicial approximation results for simplicial sets and their proofs are given in full.	The required simplicial approximation results for simplicial sets and their proofs are barely sketched.	C	NEUTRAL	
159	The required simplicial approximation results for simplicial sets and their proofs are given in full.	Simplicial approximation results for quasi-categories are omitted.	N	ENTAILMENT	[SUBCLASS(lemma)]
160	Subdivision behaves like a covering in the context of the techniques displayed here.	Subdivision can behave like a covering.	E	NEUTRAL	
161	Subdivision behaves like a covering in the context of the techniques displayed here.	In the context of the techniques displayed here subdivision does not behave like a covering.	C	CONTRADICTION	[EQUALS(lemma)]
162	Subdivision behaves like a covering in the context of the techniques displayed here.	Subdivision and other techniques do not mix well.	N	NEUTRAL	
163	Several exact sequences, relative to a subfunctor of the identity functor, are obtained.	We obtain exact sequences relative to a subfunctor of the identity functor.	E	NEUTRAL	
164	Several exact sequences, relative to a subfunctor of the identity functor, are obtained.	No exact sequence relative to a subfunctor of the identity functor is obtained.	C	CONTRADICTION	[EQUALS(lemma), EQUALS(lemma)]
165	Several exact sequences, relative to a subfunctor of the identity functor, are obtained.	An exact sequence relative to the product functor is known.	N	NEUTRAL	
166	The resulting notion of centrality fits into Janelidze and Kelly's theory of central extensions.	Janelidze and Kelly's theory of central extensions has a resulting notion of centrality.	E	ENTAILMENT	[EQUALS(sense)]
167	The resulting notion of centrality fits into Janelidze and Kelly's theory of central extensions.	Janelidze and Kelly's theory of central extensions has no notion of centrality.	C	CONTRADICTION	[SUBCLASS(lemma), SUBCLASS(sense), SUBCLASS(sense), SUBCLASS(sense), SUBCLASS(sense)]
168	The resulting notion of centrality fits into Janelidze and Kelly's theory of central extensions.	Janelidze and Kelly's theory of central extensions has a notion of acentrality.	N	ENTAILMENT	[SUBCLASS(sense)]
169	The centre of a monoidal category is a braided monoidal category.	Braided monoidal categories can be centres of other categories.	E	NEUTRAL	
170	The centre of a monoidal category is a braided monoidal category.	The centre of a monoidal category is a monoidal category with no braid structure.	C	NEUTRAL	
171	The centre of a monoidal category is a braided monoidal category.	A braided monoidal category has a centre.	N	NEUTRAL	
172	Monoidal categories are monoidal objects (or pseudomonoids) in the monoidal bicategory of categories.	The monoidal bicategory of categories has monoidal objects.	E	NEUTRAL	
173	Monoidal categories are monoidal objects (or pseudomonoids) in the monoidal bicategory of categories.	There are no monoidal objects in the monoidal bicategory of categories.	C	CONTRADICTION	[SUBCLASS(lemma)]
174	Monoidal categories are monoidal objects (or pseudomonoids) in the monoidal bicategory of categories.	The monoidal bicategory of categories has  symmetric monoidal objects.	N	NEUTRAL	
175	Some properties and sufficient conditions for existence of the construction are examined.	Sufficient conditions for existence of the construction are examined	E	ENTAILMENT	[EQUALS(lemma)]
176	Some properties and sufficient conditions for existence of the construction are examined.	The construction has no properties.	C	CONTRADICTION	[EQUALS(lemma)]
177	Some properties and sufficient conditions for existence of the construction are examined.	We show precisely when the construction exists.	N	NEUTRAL	
178	Having many corollaries, this was an extremely useful result.	This result has at least two corollaries.	E	NEUTRAL	
179	Having many corollaries, this was an extremely useful result.	The corollaries made this result useless.	C	NEUTRAL	
180	Having many corollaries, this was an extremely useful result.	This useful result had no precedents.	N	NEUTRAL	
181	This paper introduces the notions of vector field and flow on a general differentiable stack.	This paper introduces the notion of vector field on a general differentiable stack.	E	NEUTRAL	
182	This paper introduces the notions of vector field and flow on a general differentiable stack.	Vector fields on a differentiable stack are undefinable.	C	NEUTRAL	
183	This paper introduces the notions of vector field and flow on a general differentiable stack.	This paper generalizes the notions of vector field and flow on a stack.	N	ENTAILMENT	[EQUALS(embed)]
184	Both of them generalise the concept of algebra on a monad T.	The concept of algebra on a monad T is more special than both of them.	E	NEUTRAL	
185	Both of them generalise the concept of algebra on a monad T.	Exactly one of them generalises the concept of algebra on a monad T.	C	NEUTRAL	
186	Both of them generalise the concept of algebra on a monad T.	Both concepts are interesting.	N	NEUTRAL	
187	We define eventually cyclic Boolean flows and the eventually cyclic spectrum of a Boolean flow.	We define the eventually cyclic spectrum of a Boolean flow and also eventually cyclic Boolean flows.	E	NEUTRAL	
188	We define eventually cyclic Boolean flows and the eventually cyclic spectrum of a Boolean flow.	Without defining them, we use the concepts of an eventually cyclic Boolean flow and the eventually cyclic spectrum of a Boolean flow.	C	NEUTRAL	
189	We define eventually cyclic Boolean flows and the eventually cyclic spectrum of a Boolean flow.	The definition of the eventually cyclic spectrum of a Boolean flow uses the definition of eventually cyclic Boolean flows.	N	NEUTRAL	
190	The axioms resemble those for monoidal Abelian categories with the addition of an involutive functor.	The axioms are similar to those for monoidal Abelian categories, but we also make us of a functor which is involutive.	E	ENTAILMENT	[SUBCLASS(embed)]
191	The axioms resemble those for monoidal Abelian categories with the addition of an involutive functor.	The axioms have a very different flavor from those for monoidal Abelian categories with involutive functors.	C	NEUTRAL	
192	The axioms resemble those for monoidal Abelian categories with the addition of an involutive functor.	The axioms are the ones of monoidal Abelian categories.	N	NEUTRAL	
193	Neither enrichment nor a complex base field is presupposed.	A complex base field is not presupposed.	E	CONTRADICTION	[EQUALS(lemma), EQUALS(lemma)]
194	Neither enrichment nor a complex base field is presupposed.	A complex base field is presupposed.	C	ENTAILMENT	[EQUALS(lemma)]
195	Neither enrichment nor a complex base field is presupposed.	The base field assumed is the real numbers.	N	NEUTRAL	
196	A comparison to other approaches will be made in the introduction.	In the introduction, we compare our work to that work in other papers.	E	NEUTRAL	
197	A comparison to other approaches will be made in the introduction.	We decided to omit an introduction and instead discuss other approaches.	C	NEUTRAL	
198	A comparison to other approaches will be made in the introduction.	Other approaches will be made in the introduction.	N	ENTAILMENT	[SUBCLASS(lemma)]
199	Distributive laws between monads (triples) were defined by Jon Beck in the 1960s.	Jon Beck defined distributive laws between triples.	E	NEUTRAL	
200	Distributive laws between monads (triples) were defined by Jon Beck in the 1960s.	Jon Beck failed to define distributive laws between monads (triples) in the 1960s.	C	CONTRADICTION	[EQUALS(lemma)]
201	Distributive laws between monads (triples) were defined by Jon Beck in the 1960s.	The main point of Jon Beck's paper was to generalize distributive laws from arithmetic to monads (triples).	N	NEUTRAL	
202	For such a class of spaces homotopy orthogonality implies enriched orthogonality.	For such a class of spaces enriched orthogonality is implied by homotopy orthogonality.	E	CONTRADICTION	[EQUALS(lemma)]
203	For such a class of spaces homotopy orthogonality implies enriched orthogonality.	For such a class of spaces homotopy orthogonality implies and also contradicts enriched orthogonality.	C	ENTAILMENT	[EQUALS(lemma)]
204	For such a class of spaces homotopy orthogonality implies enriched orthogonality.	For such a class of spaces enriched orthogonality implies homotopy orthogonality.	N	CONTRADICTION	[EQUALS(lemma)]
205	The state space of a machine admits the structure of time.	The state space of a machine has a temporal structure.	E	NEUTRAL	
206	The state space of a machine admits the structure of time.	The state space of a machine is static.	C	NEUTRAL	
207	The state space of a machine admits the structure of time.	Like time itself, the state space of a machine has loops.	N	NEUTRAL	
208	In the general case, no such meaningful partition could exist.	In general case, no such meaningful partition exists.	E	CONTRADICTION	[EQUALS(lemma), EQUALS(lemma)]
209	In the general case, no such meaningful partition could exist.	There is a meaningful partition in general.	C	ENTAILMENT	[SUBCLASS(lemma)]
210	In the general case, no such meaningful partition could exist.	In special cases, the partition is very meaningful.	N	NEUTRAL	
211	The present paper starts by supplying this last clause with a precise meaning.	The present paper supplies a precise meaning to this last clause.	E	ENTAILMENT	[EQUALS(lemma)]
212	The present paper starts by supplying this last clause with a precise meaning.	We will not be concerned with giving this last clause a precise meaning.	C	CONTRADICTION	[SUBCLASS(sense)]
213	The present paper starts by supplying this last clause with a precise meaning.	The precise meaning of the last clause is given in the beginning and the end of this paper.	N	NEUTRAL	
214	Under condition (I), every multiplicative graph is an internal category.	Under condition (I), every multiplicative graph is a category.	E	ENTAILMENT	[SUBCLASS(lemma)]
